Transponder_ID,Tool_ID,temp,humid,x,y,z,freefall,collision,Motion,Time_of_use,date,time
111111,8846877,23.0,35.0,-1.0983448,-0.4707192,10.8265416,False,False,False,0:00:00,2021-12-05,14:43:22.813999
111111,8846877,23.0,35.0,-1.1375714,-0.43149259999999995,10.9049948,False,False,False,0:00:00,2021-12-05,14:43:21.229412
111111,8846877,23.0,35.0,-1.0591182,-0.43149259999999995,10.7088618,False,False,False,0:00:00,2021-12-05,14:43:19.646299
111111,8846877,23.0,35.0,-1.0983448,-0.4707192,10.8265416,False,False,False,0:00:00,2021-12-05,14:43:18.081853
111111,8846877,23.0,35.0,-1.0591182,-0.5099458,10.8657682,False,False,False,0:00:00,2021-12-05,14:43:16.505621
111111,8846877,23.0,35.0,-1.0983448,-0.4707192,10.8265416,False,False,False,0:00:00,2021-12-05,14:43:14.937519
111111,8846877,23.0,35.0,-1.0983448,-0.392266,10.8265416,False,False,False,0:00:00,2021-12-05,14:43:10.837419
111111,8846877,23.0,35.0,-1.1375714,-0.43149259999999995,10.787315,False,False,False,0:00:00,2021-12-05,14:43:09.270644
111111,8846877,23.0,35.0,-1.1375714,-0.43149259999999995,10.8265416,False,False,False,0:00:00,2021-12-05,14:43:07.704527
111111,8846877,23.0,35.0,-1.0983448,-0.392266,10.787315,False,False,False,0:00:00,2021-12-05,14:43:06.138440
111111,8846877,23.0,35.0,-1.0983448,-0.43149259999999995,10.787315,False,False,False,0:00:00,2021-12-05,14:43:04.572213
holder
111111,8846877,23.0,35.0,-1.0983448,-0.392266,10.8265416,False,False,False,0:00:00,2021-12-05,14:43:03.000700
111111,8846877,23.0,35.0,-1.0591182,-0.43149259999999995,10.8265416,False,False,False,0:00:00,2021-12-05,14:43:01.419226
111111,8846877,23.0,35.0,-1.1375714,-0.392266,10.8657682,False,False,False,0:00:00,2021-12-05,14:42:59.847856
111111,8846877,23.0,35.0,-1.1375714,-0.392266,10.8265416,False,False,True,0:00:00,2021-12-05,14:42:58.266311
111111,8846877,23.0,35.0,-1.0983448,-0.43149259999999995,10.7480884,False,False,False,0:00:00,2021-12-05,14:42:54.164682
111111,8846877,23.0,35.0,-1.0198916,-0.3530394,10.8265416,False,False,False,0:00:00,2021-12-05,14:42:52.598138
111111,8846877,23.0,35.0,-1.0983448,-0.392266,10.7480884,False,False,True,0:00:00,2021-12-05,14:42:51.029717
111111,8846877,23.0,35.0,-1.0983448,-0.43149259999999995,10.7480884,False,False,False,0:00:00,2021-12-05,14:42:46.929233
111111,8846877,23.0,35.0,-1.1375714,-0.43149259999999995,10.8265416,False,False,True,0:00:00,2021-12-05,14:42:45.361444
111111,8846877,23.0,35.0,-1.0983448,-0.43149259999999995,10.8657682,False,False,True,0:00:00,2021-12-05,14:42:43.779170
111111,8846877,23.0,35.0,-1.1375714,-0.43149259999999995,10.787315,False,False,False,0:00:00,2021-12-05,14:42:39.656307
111111,8846877,23.0,34.0,-1.0983448,-0.43149259999999995,10.8265416,False,False,False,0:00:00,2021-12-05,14:42:38.092441
111111,8846877,23.0,34.0,-1.0591182,-0.43149259999999995,10.8265416,False,False,True,0:00:00,2021-12-05,14:42:33.995229
111111,8846877,23.0,34.0,-1.1375714,-0.4707192,10.8657682,False,False,False,0:00:00,2021-12-05,14:42:29.897881
111111,8846877,23.0,34.0,-1.0983448,-0.43149259999999995,10.8265416,False,False,False,0:00:00,2021-12-05,14:42:28.330514
111111,8846877,23.0,34.0,-1.1375714,-0.43149259999999995,10.7480884,False,False,False,0:00:00,2021-12-05,14:42:26.759894
111111,8846877,23.0,34.0,-1.0983448,-0.43149259999999995,10.8657682,False,False,False,0:00:00,2021-12-05,14:42:25.194210
111111,8846877,23.0,34.0,-1.0983448,-0.4707192,10.8265416,False,False,False,0:00:00,2021-12-05,14:42:23.627808
111111,8846877,23.0,34.0,-1.0983448,-0.4707192,10.8265416,False,False,False,0:00:00,2021-12-05,14:42:22.062049
111111,8846877,23.0,34.0,-1.0983448,-0.43149259999999995,10.787315,False,False,False,0:00:00,2021-12-05,14:42:20.494239
111111,8846877,23.0,34.0,-1.1375714,-0.43149259999999995,10.8657682,False,False,True,0:00:00,2021-12-05,14:42:18.926768
111111,8846877,24.0,34.0,-1.1375714,-0.43149259999999995,10.8265416,False,False,False,0:00:00,2021-12-05,14:42:17.359236
111111,8846877,24.0,34.0,-1.1375714,-0.43149259999999995,10.8265416,False,False,False,0:00:00,2021-12-05,14:42:15.790455
111111,8846877,24.0,34.0,-1.0983448,-0.4707192,10.8265416,False,False,False,0:00:00,2021-12-05,14:42:14.223381
111111,8846877,24.0,34.0,-1.0983448,-0.43149259999999995,10.8657682,False,False,False,0:00:00,2021-12-05,14:42:10.126756
111111,8846877,24.0,34.0,-1.1375714,-0.43149259999999995,10.8657682,False,False,False,0:00:00,2021-12-05,14:42:06.026197
111111,8846877,24.0,34.0,-1.1375714,-0.4707192,10.787315,False,False,False,0:00:00,2021-12-05,14:42:01.926610
111111,8846877,24.0,34.0,-1.0983448,-0.43149259999999995,10.787315,False,False,True,0:00:00,2021-12-05,14:41:55.291362
111111,8846877,23.0,34.0,-1.0983448,-0.43149259999999995,10.8265416,False,False,False,0:00:00,2021-12-05,14:41:53.732207
holder
